config,test_accuracy,test_f1
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=1 hidden_size=150,0.7511,0.735
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=150,0.7443,0.7336
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=2 hidden_size=100,0.7592,0.7321
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=2 hidden_size=200,0.7534,0.7316
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=2 hidden_size=100,0.7454,0.7286
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=100,0.7431,0.7282
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=3 hidden_size=100,0.7511,0.727
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=3 hidden_size=150,0.7649,0.7263
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=100,0.7466,0.7255
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=2 hidden_size=150,0.7454,0.7246
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=1 hidden_size=150,0.7443,0.7202
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=2 hidden_size=200,0.7477,0.7187
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=3 hidden_size=100,0.7374,0.7155
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=3 hidden_size=100,0.7534,0.7051
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=100,0.7351,0.705
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=200,0.7477,0.7027
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=1 hidden_size=200,0.7385,0.6992
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=100,0.7282,0.6844
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=200,0.7248,0.6657
