config,test_accuracy,test_f1
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=3 hidden_size=150,0.7821,0.7884
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=3 hidden_size=150,0.7913,0.7884
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=3 hidden_size=150,0.7901,0.7884
gru vocab_size=3000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=1 hidden_size=150,0.7844,0.7883
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=100,0.7787,0.7881
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=3 hidden_size=100,0.7867,0.7877
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=2 hidden_size=200,0.7764,0.7874
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=2 hidden_size=150,0.7706,0.7872
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=2 hidden_size=200,0.7821,0.787
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=200,0.7844,0.7868
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=1 hidden_size=200,0.7787,0.7867
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=3 hidden_size=100,0.781,0.7866
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=2 hidden_size=200,0.789,0.7865
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=1 hidden_size=100,0.7844,0.7864
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=3 hidden_size=200,0.7775,0.7863
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=2 hidden_size=150,0.7775,0.7863
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=2 hidden_size=200,0.7603,0.7861
